original_address,used_variant,lat,lon,result
"100 Sciarappa St, Cambridge, MA","100 Sciarappa St, Cambridge, MA",42.3689698,-71.08185434938909,Nominatim match
"400 Rindge Ave, Cambridge, MA","400 Rindge Ave, Cambridge, MA",42.393763699999994,-71.13948064364068,Nominatim match
"100 Sixth St, Cambridge, MA","100 Sixth St, Cambridge, MA",42.3681063,-71.08545489033702,Nominatim match
"0 Trowbridge St, Cambridge, MA","0 Trowbridge St, Cambridge, MA",42.3762891547222,-71.10974954720672,Nominatim match
"200 First St, Cambridge, MA","200 First St, Cambridge, MA",42.36859085075397,-71.07740262329281,Nominatim match
"300 Concord Ave, Cambridge, MA","300 Concord Ave, Cambridge, MA",42.38488639704925,-71.13643321564366,Nominatim match
"300 Charles St, Cambridge, MA","300 Charles St, Cambridge, MA",42.367988743762425,-71.08355375079985,Nominatim match
"0 Garden Ter, Cambridge, MA","0 Garden Ter, Cambridge, MA",42.382513297466566,-71.12776419363526,Nominatim match
"600 Massachusetts Ave, Cambridge, MA","600 Massachusetts Ave, Cambridge, MA",42.364701249999996,-71.10339916975049,Nominatim match
"200 Alewife Brook Pkwy, Cambridge, MA","200 Alewife Brook Pkwy, Cambridge, MA",42.3891156,-71.1417515,Nominatim match
"100 Moulton St, Cambridge, MA","100 Moulton St, Cambridge, MA",42.39083762329548,-71.14780797571669,Nominatim match
"0 Smith Pl, Cambridge, MA","0 Smith Pl, Cambridge, MA",42.39066083632056,-71.15075752806976,Nominatim match
"500 Massachusetts Ave, Cambridge, MA","500 Massachusetts Ave, Cambridge, MA",42.37238294373075,-71.11581097026317,Nominatim match
"Garden St & Huron Ave, Cambridge, MA","Garden St & Huron Ave, Cambridge, MA",42.3838642,-71.1293158,PostGIS: Intersection garden st & huron ave
"Gore St & Lambert St, Cambridge, MA","Gore St & Lambert St, Cambridge, MA",42.3730531,-71.0864613,PostGIS: Intersection gore st & lambert st
"0 Prescott St, Cambridge, MA","0 Prescott St, Cambridge, MA",42.373701083661985,-71.11377891671061,Nominatim match
"200 Spring St, Cambridge, MA","200 Spring St, Cambridge, MA",42.36876559063722,-71.07886515801086,Nominatim match
"400 Harvard St, Cambridge, MA","400 Harvard St, Cambridge, MA",42.36777239485321,-71.10023336533037,Nominatim match
"100 Thorndike St, Cambridge, MA","100 Thorndike St, Cambridge, MA",42.36975005,-71.08240112057062,Nominatim match
"Cambridge St & Sixth St, Cambridge, MA","Cambridge St & Sixth St, Cambridge, MA",42.3716618,-71.0847839,PostGIS: Intersection cambridge st & sixth st
"300 Mount Auburn St, Cambridge, MA","300 Mount Auburn St, Cambridge, MA",42.3743812,-71.1333758,Nominatim match
"100 Montgomery St, Cambridge, MA","100 Montgomery St, Cambridge, MA",42.3963105,-71.13341448452528,Nominatim match
"700 Concord Ave, Cambridge, MA","700 Concord Ave, Cambridge, MA",42.38488639704925,-71.13643321564366,Nominatim match
"Martin St & Hurlbut St, Cambridge, MA","Martin St & Hurlbut St, Cambridge, MA",42.3833849,-71.1202729,PostGIS: Intersection martin st & hurlbut st
"0 Brookline St, Cambridge, MA","0 Brookline St, Cambridge, MA",42.35476636059989,-71.11050559714798,Nominatim match
"900 Massachusetts Ave, Cambridge, MA","900 Massachusetts Ave, Cambridge, MA",42.36801555,-71.10860204990425,Nominatim match
"100 Massachusetts Ave, Cambridge, MA","100 Massachusetts Ave, Cambridge, MA",42.359372050000005,-71.095083709767,Nominatim match
"100 Winter St, Cambridge, MA","100 Winter St, Cambridge, MA",42.372708101737324,-71.08199460560994,Nominatim match
"Arrow St & Bow St, Cambridge, MA","Arrow St & Bow St, Cambridge, MA",42.3715837,-71.1157013,PostGIS: Intersection arrow st & bow st
"300 Walden St, Cambridge, MA","300 Walden St, Cambridge, MA",42.38528665,-71.13215300663717,Nominatim match
"Oxford St & Wendell St, Cambridge, MA","Oxford St & Wendell St, Cambridge, MA",42.3815738,-71.1163192,PostGIS: Intersection oxford st & wendell st
"100 Fayerweather St, Cambridge, MA","100 Fayerweather St, Cambridge, MA",42.3839064013118,-71.13633652932718,Nominatim match
"0 Irving Ter, Cambridge, MA","0 Irving Ter, Cambridge, MA",42.375828630311716,-71.11176784589752,Nominatim match
"0 Rindge Ter, Cambridge, MA","0 Rindge Ter, Cambridge, MA",42.392684237507126,-71.12645857794773,Nominatim match
"0 Sumner Rd, Cambridge, MA","0 Sumner Rd, Cambridge, MA",42.37614423535371,-71.11253136456749,Nominatim match
"Irving St & Irving Ter, Cambridge, MA","Irving St & Irving Ter, Cambridge, MA",42.375719,-71.110958,PostGIS: Intersection irving st & irving ter
"Concord Ave & Huron Ave, Cambridge, MA","Concord Ave & Huron Ave, Cambridge, MA",42.3775187,-71.1221276,PostGIS: Intersection concord ave & huron ave
"100 Gore St, Cambridge, MA","100 Gore St, Cambridge, MA",42.3718869,-71.08232049153784,Nominatim match
"0 Bigelow St, Cambridge, MA","0 Bigelow St, Cambridge, MA",42.36810183287073,-71.10529019952273,Nominatim match
"300 Harvard St, Cambridge, MA","300 Harvard St, Cambridge, MA",42.36777239485321,-71.10023336533037,Nominatim match
"Sacramento St & Oxford St, Cambridge, MA","Sacramento St & Oxford St, Cambridge, MA",42.3825727,-71.1162092,PostGIS: Intersection sacramento st & oxford st
"1600 Cambridge St, Cambridge, MA","1600 Cambridge St, Cambridge, MA",42.370757,-71.07600165,Nominatim match
"0 Irving St, Cambridge, MA","0 Irving St, Cambridge, MA",42.37622460656228,-71.11082010335649,Nominatim match
"0 Quincy St, Cambridge, MA","0 Quincy St, Cambridge, MA",42.37635490542853,-71.11414937521612,Nominatim match
"Hampshire St & Murdock St, Cambridge, MA","Hampshire St & Murdock St, Cambridge, MA",42.3718333,-71.0985255,PostGIS: Intersection hampshire st & murdock st
"800 Memorial Dr, Cambridge, MA","800 Memorial Dr, Cambridge, MA",42.354098135912416,-71.10253984164231,Nominatim match
"0 Centre St, Cambridge, MA","0 Centre St, Cambridge, MA",42.369594051090836,-71.10900496943059,Nominatim match
"Harvard St & Lee St, Cambridge, MA","Harvard St & Lee St, Cambridge, MA",42.36975,-71.105859,PostGIS: Intersection harvard st & lee st
"2400 Massachusetts Ave, Cambridge, MA","2400 Massachusetts Ave, Cambridge, MA",42.39709185,-71.1302566813872,Nominatim match
"0 Hovey Ave, Cambridge, MA","0 Hovey Ave, Cambridge, MA",42.37574609210387,-71.10762732218534,Nominatim match
"0 Dana St, Cambridge, MA","0 Dana St, Cambridge, MA",42.370735592609854,-71.10965928019647,Nominatim match
"0 Rindgefield St, Cambridge, MA","0 Rindgefield St, Cambridge, MA",42.393425994321866,-71.12778359312163,Nominatim match
"100 Cedar St, Cambridge, MA","100 Cedar St, Cambridge, MA",42.39562134683178,-71.13085010409803,Nominatim match
"100 Oxford St, Cambridge, MA","100 Oxford St, Cambridge, MA",42.3829442,-71.11594275764311,Nominatim match
"400 Cambridge St, Cambridge, MA","400 Cambridge St, Cambridge, MA",42.37117155,-71.08260973430073,Nominatim match
"600 Concord Ave, Cambridge, MA","600 Concord Ave, Cambridge, MA",42.38488639704925,-71.13643321564366,Nominatim match
"Sacramento St & Massachusetts Ave, Cambridge, MA","Sacramento St & Massachusetts Ave, Cambridge, MA",42.3825885,-71.1195831,PostGIS: Intersection sacramento st & massachusetts ave
"0 Ware St, Cambridge, MA","0 Ware St, Cambridge, MA",42.37284436871419,-71.11293833655162,Nominatim match
"Hancock St & Massachusetts Ave, Cambridge, MA","Hancock St & Massachusetts Ave, Cambridge, MA",42.3683897,-71.1087707,PostGIS: Intersection hancock st & massachusetts ave
"200 Fifth St, Cambridge, MA","200 Fifth St, Cambridge, MA",42.36485974316242,-71.08466881768703,Nominatim match
"0 Fulkerson St, Cambridge, MA","0 Fulkerson St, Cambridge, MA",42.370230686508805,-71.08731372049117,Nominatim match
"0 Reed St, Cambridge, MA","0 Reed St, Cambridge, MA",42.39536164751635,-71.13213104315912,Nominatim match
"800 Massachusetts Ave, Cambridge, MA","800 Massachusetts Ave, Cambridge, MA",42.37238294373075,-71.11581097026317,Nominatim match
"0 Garden St, Cambridge, MA","0 Garden St, Cambridge, MA",42.38453628144058,-71.13085533134718,Nominatim match
"Rindge Ave & Rindgefield St, Cambridge, MA","Rindge Ave & Rindgefield St, Cambridge, MA",42.3927308,-71.1280186,PostGIS: Intersection rindge ave & rindgefield st
"0 Remington St, Cambridge, MA","0 Remington St, Cambridge, MA",42.3712058464722,-71.1133911212766,Nominatim match
"100 Fifth St, Cambridge, MA","100 Fifth St, Cambridge, MA",42.36485974316242,-71.08466881768703,Nominatim match
"Jackson St & Rindge Ave, Cambridge, MA","Jackson St & Rindge Ave, Cambridge, MA",42.3936306,-71.1351827,PostGIS: Intersection jackson st & rindge ave
"0 Appian Way, Cambridge, MA","0 Appian Way, Cambridge, MA",42.375411914912505,-71.12166620160868,Nominatim match
"300 Binney St, Cambridge, MA","300 Binney St, Cambridge, MA",42.3659167,-71.08800055003496,Nominatim match
"500 Technology Sq, Cambridge, MA","500 Technology Sq, Cambridge, MA",42.363538199999994,-71.09259944603176,Nominatim match
"0 Third St, Cambridge, MA","0 Third St, Cambridge, MA",42.36481369223708,-71.08292512414147,Nominatim match
"500 Cambridge St, Cambridge, MA","500 Cambridge St, Cambridge, MA",42.370757,-71.07600165,Nominatim match
"100 Rindge Ave, Cambridge, MA","100 Rindge Ave, Cambridge, MA",42.39342297245854,-71.13165823591065,Nominatim match
"100 Hancock St, Cambridge, MA","100 Hancock St, Cambridge, MA",42.36972107683952,-71.10726561107643,Nominatim match
"300 River St, Cambridge, MA","300 River St, Cambridge, MA",42.361874382726015,-71.11474827653444,Nominatim match
"Charles St & Second St, Cambridge, MA","Charles St & Second St, Cambridge, MA",42.3674525,-71.079379,PostGIS: Intersection charles st & second st
"0 Magnolia Ave, Cambridge, MA","0 Magnolia Ave, Cambridge, MA",42.37684659814134,-71.1074316168605,Nominatim match
"Ash St & Mount Auburn St, Cambridge, MA","Ash St & Mount Auburn St, Cambridge, MA",42.3742981,-71.1254981,PostGIS: Intersection ash st & mount auburn st
"2300 Massachusetts Ave, Cambridge, MA","2300 Massachusetts Ave, Cambridge, MA",42.37238294373075,-71.11581097026317,Nominatim match
