address
"CHELTENHAM PL & PHINNEY WY, San Jose, CA"
"ARROWHEAD DR & GERONIMO DR, San Jose, CA"
"CURTNER AV & UNIFIED WY, San Jose, CA"
"UTOPIA PL & PEAK DR, San Jose, CA"
"CADILLAC DR & S WINCHESTER BL, San Jose, CA"
"IVALYNN CL & IVALYNN CT, San Jose, CA"
"DELMAS AV & SPENCER AV, San Jose, CA"
"5350 ALMADEN EX, San Jose, CA"
"RACE ST & EUGENE AV, San Jose, CA"
"MADDEN AV & ALEXANDER AV, San Jose, CA"
"350 SPOSITO CL, San Jose, CA"
"RORTY DR & NAGEL WY, San Jose, CA"
"N 21ST ST & JACKSON ST, San Jose, CA"
"VINEYARD DR & SANTA TERESA BL, San Jose, CA"
"ALMADEN EX & CAMDEN AV, San Jose, CA"
"ALVIN AV & FLANIGAN DR, San Jose, CA"
"DEAD END & SILVER RIDGE DR, San Jose, CA"
"ANTONIO LN & PAYNE AV, San Jose, CA"
"E CAPITOL EX & SENTER RD, San Jose, CA"
"N 8TH ST & E ST JAMES ST, San Jose, CA"
"1750 PARKVIEW GREEN C, San Jose, CA"
"WILBUR AV & LYNDALE AV, San Jose, CA"
"EAGLE LAKE DR & BRANHAM LN, San Jose, CA"
"SHERBOURNE DR & MONTROSE WY, San Jose, CA"
"PARK AV & WOZ WY, San Jose, CA"
"5950 GLENEAGLES CL, San Jose, CA"
"LEIGH AV & LAURINDA DR, San Jose, CA"
"SARON AV & SUNSET CT, San Jose, CA"
"SWALLOW DR & VERDI DR, San Jose, CA"
"STEVENS CREEK BL & N CYPRESS A, San Jose, CA"
"THE ALAMEDA & SUNOL ST, San Jose, CA"
"NOTTINGHAM PL & RHODA DR, San Jose, CA"
"FIRTH WY & BAGPIPE WY, San Jose, CA"
"LALOR DR & CAHALAN AV, San Jose, CA"
"S 2ND ST & E SAN FERNANDO ST, San Jose, CA"
"W SANTA CLARA ST & N SAN PEDRO, San Jose, CA"
"MCDONALD AV & MCKEE RD, San Jose, CA"
"BRANHAM LN & ROSS AV, San Jose, CA"
"EASTGATE AV & ALUM ROCK AV, San Jose, CA"
"TRADE ZONE BL & LUNDY AV, San Jose, CA"
"ROUNDTABLE DR & ROEDER RD, San Jose, CA"
"1850 MATRIX BL, San Jose, CA"
"THE ALAMEDA & LENZEN AV, San Jose, CA"
"Not a valid geographical locat, San Jose, CA"
"W SAN CARLOS ST & BOSTON AV, San Jose, CA"
"CAMDEN AV & KOOSER RD, San Jose, CA"
"3150 ROCKY MOUNTAIN D, San Jose, CA"
"SANTA ROSA DR & SAN BERNARDINO, San Jose, CA"
"QUESADA DR & FLINT AV, San Jose, CA"
"3950 SEVEN TREES BL, San Jose, CA"
"LOCHRIDGE DR & CASTLEBROOK CT, San Jose, CA"
"MONTEREY RD & E ALMA AV, San Jose, CA"
"S 4TH ST & E SAN FERNANDO ST, San Jose, CA"
"S MARKET ST & PARK AV, San Jose, CA"
"FLEMING AV & MARCHANT DR, San Jose, CA"
"SOUTHSIDE DR & GARDEN AV, San Jose, CA"
"650 E CAPITOL EX, San Jose, CA"
"N 15TH ST & JACKSON ST, San Jose, CA"
"ALUM ROCK AV & ALEXANDER AV, San Jose, CA"
"SANTA TERESA BL & COTTLE RD, San Jose, CA"
"HARVEST DR & CLAYTON RD, San Jose, CA"
"SANTA TERESA BL & SAN IGNACIO , San Jose, CA"
"1050 E CAPITOL EX, San Jose, CA"
"S 5TH ST & E REED ST, San Jose, CA"
"WILLIAMS RD & SAN TOMAS EX, San Jose, CA"
"MERRILL DR & DRYSDALE DR, San Jose, CA"
"2600 CORDE TERRA CL, San Jose, CA"
"JUNCTION AV & CHARCOT AV, San Jose, CA"
"LADYWOOD CT & DARRYL DR, San Jose, CA"
"2350 S SAN TOMAS AQUI, San Jose, CA"
"S DE ANZA BL & RAINBOW DR, San Jose, CA"
"LITTLE ORCHARD ST & W ALMA AV, San Jose, CA"
"1750 AIRPORT BL, San Jose, CA"
"BRANHAM LN & NARVAEZ AV, San Jose, CA"
"N 3RD ST & E ST JOHN ST, San Jose, CA"
"150 W CAPITOL EX, San Jose, CA"
"KINGMAN AV & CONCORD AV, San Jose, CA"
"1350 TEA ROSE CL, San Jose, CA"
"SANTA TERESA BL & MUSCAT DR, San Jose, CA"
"ROYAL TREE CL & FALLINGTREE DR, San Jose, CA"
"DEAD END & SNELL AV, San Jose, CA"
"700 LAWRENCE EX, San Jose, CA"
"VTA PARK AND RIDE ACCESS & SNE, San Jose, CA"
"2050 AIRPORT BL, San Jose, CA"
"HAYES AV & LEAN AV, San Jose, CA"
"LISKA LN & HOSPITAL PY, San Jose, CA"
"DEAD END & BEDFORD ST, San Jose, CA"
"BRIAR RANCH LN & DEAD END, San Jose, CA"
"TRIMBLE RD & SIERRA WOOD DR, San Jose, CA"
"N CAPITOL AV & GILCHRIST DR, San Jose, CA"
"550 YUROK CL, San Jose, CA"
"550 W CAPITOL EX, San Jose, CA"
"CLOVIS AV & BLOSSOM HILL RD, San Jose, CA"
"S 34TH ST & E SAN ANTONIO ST, San Jose, CA"
"S 3RD ST & E SAN CARLOS ST, San Jose, CA"
"AGATHA WY & NARVAEZ AV, San Jose, CA"
"LEIGH AV & SOUTHWEST EX, San Jose, CA"
"LOUMENA LN & SOUTHSIDE DR, San Jose, CA"
"W CAPITOL EX & VISTAPARK DR, San Jose, CA"
"PASEO PUEBLO DR & MCABEE RD, San Jose, CA"
"NEWHALL ST & MYRTLE ST, San Jose, CA"
"LINCOLN AV & MEREDITH AV, San Jose, CA"
"WOOSTER AV & E JULIAN ST, San Jose, CA"
"NANCY LN & WILBUR AV, San Jose, CA"
"VISTAPARK DR & W CAPITOL EX, San Jose, CA"
"KYRA CL & CORDA DR, San Jose, CA"
"DARTMOUTH DR & KOOSER RD, San Jose, CA"
"ALTA GLEN CT & MERIDIAN AV, San Jose, CA"
"DEAD END & TREADWAY DR, San Jose, CA"
"E HEDDING ST & N 5TH ST, San Jose, CA"
